age,gender,education,employment_type,years_employed,annual_income,loan_amount,loan_term_months,interest_rate,credit_score,existing_loans,monthly_emi,emi_to_income,loan_to_income,loan_purpose,default
53,Male,Bachelor,Salaried,0.0,150000.0,487201,120,12.16,675.0,1,7035.06,0.5628,3.248,Home,0
43,Male,Bachelor,Business,6.0,150000.0,484428,48,10.73,676.0,2,12456.87,0.9965,3.2295,Education,0
48,Female,Master,Self-Employed,6.0,166342.0,731989,84,11.87,774.0,0,12870.77,0.9285,4.4005,Home,1
52,Female,High School,Salaried,7.0,150000.0,167459,48,18.35,708.0,2,4949.79,0.396,1.1164,Home,1
27,Female,PhD,Business,13.0,150000.0,116628,12,23.22,500.0,1,10984.32,0.8787,0.7775,Education,1
49,Male,Bachelor,Salaried,9.0,150000.0,226189,36,23.87,603.0,4,8858.61,0.7087,1.5079,Vehicle,0
28,Female,Bachelor,Self-Employed,14.0,442985.0,1201782,36,20.84,677.0,0,45178.55,1.2238,2.7129,Medical,1
21,Male,Bachelor,Salaried,5.0,,391855,48,23.3,690.0,3,12624.02,1.0099,2.6124,Home,0
23,Male,Bachelor,Business,4.0,150000.0,420620,12,12.18,653.0,0,37407.01,2.9926,2.8041,Vehicle,0
44,Male,Bachelor,Salaried,8.0,150000.0,152176,48,7.56,644.0,2,3683.71,0.2947,1.0145,Home,0
43,Male,PhD,Salaried,14.0,150000.0,610202,24,10.7,679.0,0,28355.28,2.2684,4.068,Vehicle,1
28,Male,Bachelor,Salaried,,150000.0,278933,120,17.97,,3,5020.57,0.4016,1.8596,Vehicle,0
57,Male,Master,Business,12.0,331298.0,1527129,24,22.34,760.0,0,79481.28,2.8789,4.6095,Education,0
23,Male,High School,Salaried,8.0,150000.0,641975,60,22.6,686.0,1,17950.35,1.436,4.2798,Home,0
53,Male,Master,Salaried,5.0,150000.0,117837,84,21.21,704.0,0,2703.24,0.2163,0.7856,Personal,0
48,Female,High School,Salaried,13.0,150000.0,111155,84,20.08,606.0,1,2473.69,0.1979,0.741,Education,1
28,Male,High School,Business,2.0,183027.0,609553,84,12.52,616.0,1,10930.52,0.7166,3.3304,Home,0
54,Female,High School,Salaried,9.0,150000.0,127161,120,8.95,609.0,3,1607.38,0.1286,0.8477,Home,0
55,Male,Bachelor,Self-Employed,6.0,150000.0,460990,60,16.17,672.0,2,11252.06,0.9002,3.0733,Home,0
52,Female,PhD,Salaried,11.0,150000.0,128435,48,13.03,514.0,0,3447.5,0.2758,0.8562,Personal,1
44,Female,Bachelor,Self-Employed,8.0,150000.0,398560,120,9.61,676.0,2,5181.3,0.4145,2.6571,Vehicle,0
34,Female,High School,Salaried,11.0,150000.0,357896,120,15.06,721.0,0,5787.27,0.463,2.386,Personal,0
52,Female,High School,Salaried,7.0,299771.0,947037,60,16.17,751.0,1,23115.73,0.9253,3.1592,Business,0
63,Male,Bachelor,Business,5.0,150000.0,315431,120,20.28,668.0,0,6154.56,0.4924,2.1029,Home,0
36,Male,High School,Self-Employed,6.0,150000.0,169531,48,20.83,545.0,4,5234.16,0.4187,1.1302,Education,0
24,Male,Bachelor,Unemployed,7.0,150000.0,643428,36,15.23,614.0,3,22377.18,1.7902,4.2895,Vehicle,1
57,Male,Bachelor,Self-Employed,8.0,150000.0,277028,24,22.69,723.0,0,14466.27,1.1573,1.8469,Home,0
41,Male,PhD,Salaried,9.0,150000.0,120537,120,20.51,532.0,0,2370.35,0.1896,0.8036,Medical,1
34,Female,Bachelor,Self-Employed,,150000.0,412901,12,14.64,668.0,1,37197.64,2.9758,2.7527,Personal,0
51,Female,High School,Self-Employed,9.0,150000.0,667430,12,13.28,,0,59700.74,4.7761,4.4495,Home,0
38,Female,Master,Salaried,15.0,150000.0,264486,36,12.75,754.0,0,8879.76,0.7104,1.7632,Education,0
27,Female,Bachelor,Salaried,4.0,150000.0,379258,120,15.15,657.0,3,6153.64,0.4923,2.5284,Business,0
30,Female,Master,Salaried,11.0,150000.0,346733,84,12.95,645.0,1,6298.33,0.5039,2.3116,Home,0
27,Female,High School,Salaried,4.0,150000.0,107661,120,15.24,493.0,3,1752.81,0.1402,0.7177,Home,0
53,Female,Bachelor,Salaried,,150000.0,661134,48,17.02,731.0,0,19083.89,1.5267,4.4076,Vehicle,1
43,Male,PhD,Business,12.0,284983.0,1115698,84,10.24,583.0,0,18660.56,0.7858,3.915,Education,0
41,Male,High School,Business,3.0,150000.0,139644,24,20.67,595.0,3,7153.08,0.5722,0.931,Home,0
39,Female,Bachelor,Self-Employed,6.0,150000.0,164211,48,9.36,697.0,1,4114.53,0.3292,1.0947,Vehicle,0
39,Female,High School,Salaried,,150000.0,82142,48,14.17,555.0,0,2251.66,0.1801,0.5476,Personal,0
56,Female,Bachelor,Salaried,16.0,150000.0,740359,36,10.23,769.0,1,23969.33,1.9175,4.9357,Home,0
49,Male,Master,Self-Employed,6.0,157817.0,374469,36,12.51,768.0,0,12529.14,0.9527,2.3728,Home,0
38,Female,Bachelor,Salaried,2.0,150000.0,703013,60,15.06,628.0,2,16746.78,1.3397,4.6868,Home,0
22,Male,Master,Self-Employed,3.0,,358596,36,19.85,673.0,1,13299.32,1.0639,2.3906,Vehicle,0
21,Male,Bachelor,Business,15.0,150000.0,145065,60,17.85,527.0,0,3671.87,0.2937,0.9671,Education,1
25,Male,PhD,Salaried,6.0,150000.0,306743,84,13.45,619.0,1,5655.57,0.4524,2.045,Vehicle,0
40,Male,Bachelor,Salaried,6.0,150000.0,357306,84,17.25,740.0,3,7353.55,0.5883,2.382,Home,1
31,Male,High School,Salaried,12.0,150000.0,194214,120,12.39,752.0,3,2830.37,0.2264,1.2948,Vehicle,0
62,Male,Bachelor,Salaried,12.0,150000.0,111117,12,21.33,625.0,1,10364.13,0.8291,0.7408,Medical,1
22,Male,Bachelor,Salaried,3.0,150000.0,288649,60,15.47,648.0,0,6938.36,0.5551,1.9243,Personal,0
23,Male,Master,Business,3.0,150000.0,439022,60,19.33,660.0,1,11468.34,0.9175,2.9268,Education,0
43,Female,Bachelor,Unemployed,4.0,150000.0,247345,84,12.65,502.0,1,4452.76,0.3562,1.649,Home,0
32,Female,Bachelor,Business,,,1148797,12,18.68,644.0,3,105693.83,5.315,4.8141,Vehicle,0
40,Male,Master,Business,10.0,150000.0,399961,24,22.79,681.0,3,20905.6,1.6724,2.6664,Home,1
25,Male,Master,Unemployed,6.0,150000.0,162933,48,9.28,813.0,3,4076.29,0.3261,1.0862,Home,0
57,Female,Bachelor,Business,5.0,182607.0,431083,84,17.24,783.0,2,8869.42,0.5829,2.3607,Education,0
58,Male,Master,Self-Employed,7.0,150000.0,552697,48,15.77,784.0,0,15598.56,1.2479,3.6846,Vehicle,0
50,Male,Bachelor,Salaried,4.0,150000.0,403825,36,16.43,797.0,1,14283.17,1.1427,2.6922,Business,0
29,Female,High School,Salaried,13.0,538494.0,1071900,36,10.71,758.0,2,34945.61,0.7787,1.9906,Medical,0
54,Female,High School,Salaried,4.0,150000.0,146752,24,7.95,633.0,2,6633.85,0.5307,0.9783,Personal,0
64,Male,PhD,Salaried,7.0,150000.0,385200,120,8.68,625.0,2,4813.09,0.385,2.568,Vehicle,0
55,Male,High School,Business,9.0,150000.0,140735,36,12.19,671.0,1,4687.2,0.375,0.9382,Personal,0
42,Male,Bachelor,Salaried,9.0,150000.0,325345,48,21.6,582.0,0,10179.82,0.8144,2.169,Personal,0
64,Female,Master,Salaried,5.0,150000.0,153451,84,20.81,803.0,0,3482.8,0.2786,1.023,Medical,0
44,Male,High School,Salaried,11.0,150000.0,531408,84,23.92,663.0,0,13086.06,1.0469,3.5427,Home,0
37,Male,Master,Salaried,15.0,259216.0,1030828,60,19.72,724.0,0,27150.29,1.2569,3.9767,Home,0
30,Male,Master,Salaried,,150000.0,239352,60,13.3,,0,5482.82,0.4386,1.5957,Home,0
50,Female,PhD,Salaried,0.0,193392.0,161718,120,22.65,756.0,3,3414.52,0.2119,0.8362,Personal,0
43,Female,High School,Salaried,6.0,163012.0,336071,36,20.55,651.0,0,12583.98,0.9264,2.0616,Business,0
52,Female,Bachelor,Salaried,4.0,150000.0,453356,48,19.03,511.0,3,13562.58,1.085,3.0224,Home,0
37,Female,Master,Salaried,9.0,150000.0,593358,84,16.35,718.0,4,11903.9,0.9523,3.9557,Medical,0
37,Male,High School,Salaried,11.0,259967.0,601314,12,19.33,716.0,0,55509.79,2.5623,2.313,Vehicle,0
34,Female,Bachelor,Self-Employed,2.0,183052.0,392967,12,23.32,732.0,2,37029.6,2.4275,2.1468,Home,0
29,Female,Bachelor,Salaried,10.0,150000.0,688127,84,21.73,635.0,3,16005.48,1.2804,4.5875,Education,1
60,Male,High School,Salaried,6.0,150000.0,378538,84,10.71,568.0,0,6423.92,0.5139,2.5236,Business,1
22,Female,Master,Self-Employed,5.0,150000.0,376872,84,9.11,608.0,0,6084.58,0.4868,2.5125,Education,0
45,Female,Bachelor,Salaried,9.0,150000.0,351749,60,7.77,733.0,2,7093.55,0.5675,2.345,Business,0
59,Female,High School,Salaried,6.0,150000.0,320173,48,19.26,755.0,0,9617.19,0.7694,2.1345,Business,0
29,Male,High School,Business,11.0,150000.0,566725,84,12.1,775.0,1,10034.58,0.8028,3.7782,Personal,0
42,Female,High School,Self-Employed,5.0,150000.0,265203,120,19.35,723.0,0,5011.43,0.4009,1.768,Vehicle,0
63,Female,High School,Salaried,12.0,,330673,60,10.54,619.0,2,7114.01,0.5691,2.2045,Home,0
24,Male,Bachelor,Business,6.0,150000.0,265545,48,14.71,698.0,1,7351.34,0.5881,1.7703,Personal,0
46,Male,High School,Business,0.0,216625.0,664266,84,7.72,608.0,1,10260.97,0.5684,3.0664,Home,0
49,Male,Bachelor,Salaried,3.0,150000.0,723264,120,9.29,651.0,3,9275.9,0.7421,4.8218,Vehicle,1
54,Female,Master,Business,6.0,150000.0,338449,12,8.84,726.0,1,29572.76,2.3658,2.2563,Home,1
43,Female,Bachelor,Business,8.0,150000.0,728537,84,20.54,617.0,0,16415.75,1.3133,4.8569,Home,1
57,Male,High School,Salaried,6.0,150000.0,518267,36,22.42,,0,19905.64,1.5925,3.4551,Home,0
31,Male,PhD,Self-Employed,4.0,163106.0,665391,24,10.38,,0,30821.25,2.2676,4.0795,Business,1
26,Male,High School,Salaried,14.0,165352.0,330458,36,16.15,877.0,0,11642.41,0.8449,1.9985,Home,0
38,Female,Master,Self-Employed,12.0,150000.0,226484,48,9.98,744.0,0,5742.04,0.4594,1.5099,Vehicle,0
41,Male,Bachelor,Self-Employed,2.0,150000.0,464346,60,20.36,562.0,0,12395.53,0.9916,3.0956,Business,1
62,Female,Bachelor,Salaried,3.0,245858.0,1219057,60,21.04,725.0,2,33007.02,1.611,4.9584,Vehicle,0
56,Female,Master,Business,8.0,154875.0,572395,12,20.46,657.0,0,53149.62,4.1181,3.6959,Business,1
61,Female,Bachelor,Business,6.0,150000.0,535096,84,11.65,641.0,2,9346.04,0.7477,3.5673,Personal,0
58,Male,Master,Business,0.0,150000.0,378819,12,13.07,619.0,0,33847.52,2.7078,2.5255,Medical,0
54,Male,Master,Salaried,4.0,150000.0,668652,36,10.94,595.0,4,21871.81,1.7497,4.4577,Business,0
37,Male,Bachelor,Salaried,9.0,150000.0,545453,84,7.55,729.0,1,8379.78,0.6704,3.6364,Home,1
57,Male,Bachelor,Business,7.0,238194.0,842486,120,8.57,746.0,3,10477.19,0.5278,3.537,Medical,0
45,Male,Master,Salaried,3.0,150000.0,272459,36,23.77,740.0,0,10656.47,0.8525,1.8164,Home,0
58,Female,Bachelor,Salaried,4.0,150000.0,721470,120,22.57,620.0,0,15193.55,1.2155,4.8098,Medical,0
32,Male,Master,Business,6.0,216396.0,352021,24,8.81,644.0,1,16051.32,0.8901,1.6267,Vehicle,0
43,Male,Bachelor,Salaried,17.0,150000.0,428488,48,15.11,849.0,1,11949.05,0.9559,2.8566,Personal,1
62,Male,Bachelor,Salaried,7.0,150000.0,304200,36,23.58,599.0,3,11867.65,0.9494,2.028,Education,1
42,Male,High School,Salaried,,150000.0,197023,36,8.4,686.0,0,6210.41,0.4968,1.3135,Vehicle,0
41,Female,High School,Salaried,14.0,150000.0,172263,12,18.53,603.0,0,15836.55,1.2669,1.1484,Home,0
47,Male,Bachelor,Salaried,9.0,150000.0,272700,84,9.26,675.0,1,4423.56,0.3539,1.818,Personal,0
51,Male,Bachelor,Salaried,3.0,150000.0,540061,48,13.24,,1,14552.9,1.1642,3.6004,Home,0
26,Female,Bachelor,Salaried,7.0,150000.0,732977,12,8.28,656.0,1,63855.45,5.1084,4.8865,Home,0
47,Male,Bachelor,Business,6.0,158256.0,686783,120,17.37,742.0,0,12097.63,0.9173,4.3397,Education,0
60,Male,Bachelor,Salaried,9.0,150000.0,222168,120,19.09,632.0,0,4160.34,0.3328,1.4811,Education,0
54,Male,Master,Self-Employed,1.0,150000.0,127928,24,8.18,732.0,2,5796.34,0.4637,0.8529,Home,0
32,Male,High School,Salaried,2.0,164715.0,591337,36,15.82,578.0,1,20737.14,1.5108,3.5901,Home,0
27,Male,Bachelor,Self-Employed,5.0,208521.0,132443,84,12.43,726.0,3,2368.55,0.1363,0.6352,Education,0
30,Male,High School,Unemployed,3.0,468347.0,2044827,36,19.2,572.0,1,75162.15,1.9258,4.3661,Business,1
37,Female,Bachelor,Self-Employed,11.0,645154.0,2719301,36,15.92,643.0,0,95495.19,1.7762,4.215,Home,1
46,Male,High School,Self-Employed,2.0,283950.0,1156145,60,7.78,702.0,0,23320.91,0.9856,4.0716,Home,1
41,Female,Bachelor,Salaried,16.0,150000.0,447883,120,11.88,752.0,2,6394.79,0.5116,2.9859,Vehicle,1
48,Female,Bachelor,Salaried,6.0,150000.0,732135,48,15.54,,0,20576.83,1.6461,4.8809,Business,0
22,Male,High School,Business,7.0,150000.0,384397,12,9.09,664.0,0,33632.13,2.6906,2.5626,Medical,0
63,Male,Bachelor,Business,8.0,150000.0,740909,12,22.11,602.0,3,69384.15,5.5507,4.9394,Home,0
21,Male,PhD,Salaried,6.0,150000.0,670263,120,22.29,725.0,3,13986.71,1.1189,4.4684,Vehicle,1
56,Female,High School,Business,11.0,218460.0,233629,12,9.36,784.0,1,20470.22,1.1244,1.0694,Medical,1
46,Female,Bachelor,Salaried,7.0,150000.0,679055,24,22.07,583.0,0,35251.6,2.8201,4.527,Vehicle,0
49,Female,Bachelor,Self-Employed,4.0,150000.0,280785,60,16.95,626.0,0,6970.68,0.5577,1.8719,Business,0
41,Male,Bachelor,Salaried,1.0,150000.0,593569,24,21.78,688.0,1,30728.82,2.4583,3.9571,Personal,0
31,Female,High School,Self-Employed,,150000.0,75141,48,17.86,824.0,0,2201.77,0.1761,0.5009,Education,0
60,Male,High School,Salaried,10.0,150000.0,261196,12,22.63,731.0,1,24525.74,1.9621,1.7413,Vehicle,0
31,Male,Master,Business,1.0,150000.0,586952,12,15.09,610.0,1,53002.23,4.2402,3.913,Vehicle,1
56,Male,High School,Self-Employed,5.0,,731334,12,23.97,595.0,0,69144.03,5.5315,4.8756,Education,1
59,Male,High School,Salaried,10.0,150000.0,190399,36,21.65,708.0,3,7236.99,0.579,1.2693,Personal,0
60,Male,Bachelor,Self-Employed,3.0,150000.0,385102,120,17.88,630.0,0,6909.24,0.5527,2.5673,Education,0
55,Female,Bachelor,Self-Employed,3.0,150000.0,471339,120,13.97,596.0,0,7309.81,0.5848,3.1423,Home,0
54,Female,Bachelor,Salaried,6.0,150000.0,717979,36,17.66,575.0,2,25834.37,2.0667,4.7865,Home,0
44,Female,Bachelor,Salaried,,150000.0,380956,84,19.53,765.0,4,8352.11,0.6682,2.5397,Home,1
42,Male,Bachelor,Salaried,10.0,150000.0,705135,12,13.15,619.0,0,63030.37,5.0424,4.7009,Business,0
25,Female,Bachelor,Salaried,12.0,150000.0,735276,120,16.43,508.0,3,12514.59,1.0012,4.9018,Medical,1
53,Male,High School,Self-Employed,3.0,150000.0,710601,12,22.19,579.0,0,66573.26,5.3259,4.7373,Home,0
56,Male,Bachelor,Salaried,4.0,150000.0,580393,36,23.21,661.0,0,22530.43,1.8024,3.8693,Home,1
40,Male,Bachelor,Salaried,,150000.0,160205,24,17.7,711.0,2,7974.89,0.638,1.068,Home,0
39,Male,Bachelor,Salaried,5.0,205487.0,659790,60,9.98,721.0,1,14012.1,0.8183,3.2109,Business,0
55,Male,Bachelor,Unemployed,3.0,150000.0,583630,24,20.16,684.0,0,29749.96,2.38,3.8909,Business,1
63,Male,Bachelor,Self-Employed,8.0,150000.0,719561,120,11.59,749.0,1,10153.78,0.8123,4.7971,Education,1
37,Female,High School,Self-Employed,0.0,150000.0,600122,60,8.57,772.0,2,12332.68,0.9866,4.0008,Home,0
63,Female,High School,Salaried,,150000.0,438781,120,13.62,742.0,1,6712.9,0.537,2.9252,Personal,0
54,Male,Bachelor,Salaried,13.0,331128.0,471273,36,11.94,,0,15639.51,0.5668,1.4232,Home,0
29,Female,Bachelor,Salaried,7.0,220629.0,564093,84,15.99,739.0,0,11200.84,0.6092,2.5567,Home,0
46,Female,High School,Self-Employed,3.0,150000.0,505853,84,7.54,491.0,2,7768.9,0.6215,3.3724,Home,0
22,Male,Master,Salaried,1.0,357431.0,700813,12,18.71,743.0,0,64487.57,2.165,1.9607,Vehicle,0
29,Female,Bachelor,Salaried,8.0,150000.0,383104,120,14.79,678.0,2,6131.63,0.4905,2.554,Education,0
29,Male,Bachelor,Business,,204438.0,118190,12,11.78,709.0,2,10488.88,0.6157,0.5781,Home,0
60,Female,Bachelor,Salaried,7.0,150000.0,668341,12,11.97,706.0,2,59371.91,4.7498,4.4556,Business,0
37,Female,High School,Business,5.0,150000.0,98466,120,8.2,771.0,2,1205.1,0.0964,0.6564,Vehicle,0
21,Female,Bachelor,Business,3.0,150000.0,351270,24,11.17,634.0,1,16399.67,1.312,2.3418,Personal,0
45,Female,Bachelor,Salaried,1.0,150000.0,419907,12,9.46,653.0,2,36811.12,2.9449,2.7994,Home,0
63,Female,High School,Business,8.0,150000.0,731382,60,14.7,660.0,2,17284.57,1.3828,4.8759,Medical,0
60,Female,Master,Salaried,0.0,150000.0,706235,12,15.66,730.0,0,63963.73,5.1171,4.7082,Home,0
62,Male,Master,Unemployed,10.0,215778.0,735505,36,21.09,762.0,0,27744.2,1.5429,3.4086,Vehicle,0
45,Male,High School,Salaried,9.0,150000.0,469236,12,16.83,612.0,1,42758.71,3.4207,3.1282,Vehicle,1
59,Male,Bachelor,Self-Employed,6.0,150000.0,322425,24,17.19,788.0,1,15970.87,1.2777,2.1495,Personal,0
55,Male,High School,Self-Employed,9.0,150000.0,102733,24,9.11,778.0,0,4698.52,0.3759,0.6849,Vehicle,0
23,Male,Master,Salaried,7.0,214428.0,365531,120,13.29,649.0,0,5520.47,0.3089,1.7047,Home,0
57,Female,Bachelor,Self-Employed,9.0,165040.0,712106,36,20.64,635.0,0,26697.2,1.9411,4.3147,Home,0
64,Male,Bachelor,Business,10.0,150000.0,512581,120,17.14,768.0,1,8954.06,0.7163,3.4172,Home,1
64,Female,Bachelor,Business,5.0,150000.0,624737,48,13.69,679.0,2,16974.87,1.358,4.1649,Home,1
50,Female,Bachelor,Self-Employed,1.0,150000.0,639956,120,14.61,592.0,2,10172.42,0.8138,4.2664,Home,0
58,Female,Bachelor,Self-Employed,16.0,,116989,24,9.41,661.0,1,5366.65,0.4293,0.7799,Home,0
54,Female,Bachelor,Salaried,6.0,150000.0,302571,48,7.93,553.0,0,7376.7,0.5901,2.0171,Personal,0
32,Male,Bachelor,Business,5.0,150000.0,531291,36,9.88,619.0,1,17113.35,1.3691,3.5419,Personal,0
39,Female,Bachelor,Self-Employed,8.0,174616.0,757640,12,12.4,778.0,0,67457.25,4.6358,4.3389,Vehicle,0
57,Male,Bachelor,Business,6.0,150000.0,615967,84,12.17,832.0,2,10929.58,0.8744,4.1064,Personal,0
64,Male,High School,Self-Employed,1.0,150000.0,359948,48,19.1,668.0,1,10781.49,0.8625,2.3997,Vehicle,0
37,Male,High School,Salaried,2.0,150000.0,704169,36,10.15,670.0,2,22771.18,1.8217,4.6945,Vehicle,0
30,Male,Bachelor,Salaried,3.0,150000.0,277984,48,20.03,744.0,0,8463.6,0.6771,1.8532,Medical,1
32,Female,Bachelor,Salaried,8.0,150000.0,328648,48,19.2,790.0,3,9861.33,0.7889,2.191,Education,0
36,Male,Master,Self-Employed,4.0,150000.0,197459,120,10.0,606.0,0,2609.44,0.2088,1.3164,Vehicle,0
44,Male,High School,Salaried,10.0,150000.0,228171,12,18.4,623.0,0,20962.18,1.677,1.5211,Business,1
39,Female,Bachelor,Self-Employed,6.0,150000.0,80881,84,12.91,748.0,0,1467.43,0.1174,0.5392,Vehicle,0
28,Female,High School,Salaried,6.0,150000.0,283231,24,9.25,649.0,0,12971.85,1.0377,1.8882,Education,0
51,Male,Master,Salaried,7.0,150000.0,281934,48,17.78,655.0,0,8249.44,0.66,1.8796,Medical,0
41,Female,Master,Salaried,2.0,150000.0,120410,60,20.59,500.0,0,3229.79,0.2584,0.8027,Personal,1
37,Female,High School,Salaried,12.0,475281.0,965842,12,23.38,732.0,1,91040.08,2.2986,2.0321,Medical,0
43,Female,Bachelor,Salaried,8.0,150000.0,278433,120,16.58,662.0,1,4765.25,0.3812,1.8562,Education,0
57,Male,Bachelor,Self-Employed,,150000.0,614361,60,16.85,795.0,2,15218.95,1.2175,4.0957,Personal,0
36,Male,High School,Salaried,4.0,150000.0,180466,12,15.14,635.0,2,16300.48,1.304,1.2031,Vehicle,0
26,Male,Bachelor,Salaried,4.0,150000.0,564430,12,12.59,753.0,1,50304.84,4.0244,3.7629,Medical,0
28,Male,Bachelor,Business,2.0,181000.0,196373,84,9.86,698.0,1,3245.84,0.2152,1.0849,Education,0
45,Female,High School,Salaried,,150000.0,409957,24,12.45,612.0,2,19384.36,1.5507,2.733,Home,0
38,Male,Bachelor,Business,1.0,193788.0,739054,60,13.01,649.0,0,16819.53,1.0415,3.8137,Vehicle,0
45,Female,High School,Unemployed,11.0,198303.0,640330,48,19.65,658.0,1,19366.27,1.1719,3.229,Vehicle,0
32,Male,Bachelor,Salaried,3.0,150000.0,510967,12,9.62,654.0,1,44831.86,3.5865,3.4064,Vehicle,0
35,Female,Master,Salaried,2.0,197402.0,282021,84,10.58,704.0,1,4766.83,0.2898,1.4287,Education,0
46,Male,Bachelor,Salaried,12.0,150000.0,633496,60,23.54,785.0,1,18055.64,1.4445,4.2233,Home,0
61,Female,High School,Salaried,7.0,150000.0,717677,60,8.67,,0,14783.11,1.1826,4.7845,Business,1
46,Female,High School,Salaried,2.0,150000.0,179199,24,22.83,690.0,0,9370.13,0.7496,1.1947,Vehicle,0
52,Female,Bachelor,Salaried,9.0,150000.0,674580,60,9.91,640.0,1,14302.98,1.1442,4.4972,Home,0
30,Male,Bachelor,Salaried,12.0,151470.0,346807,48,16.35,636.0,0,9890.89,0.7836,2.2896,Home,0
36,Male,Bachelor,Business,9.0,150000.0,546713,60,14.04,745.0,1,12732.4,1.0186,3.6448,Business,0
27,Female,High School,Salaried,7.0,150000.0,417036,24,14.1,764.0,4,20042.81,1.6034,2.7802,Vehicle,0
37,Male,Master,Self-Employed,8.0,480612.0,1956103,120,19.08,608.0,0,36617.37,0.9143,4.07,Vehicle,1
43,Male,Master,Self-Employed,11.0,150000.0,105565,12,18.32,694.0,0,9694.28,0.7755,0.7038,Home,1
46,Male,Master,Salaried,13.0,189476.0,370726,60,23.06,642.0,1,10463.72,0.6627,1.9566,Education,1
41,Male,Bachelor,Salaried,3.0,170649.0,121790,60,19.35,626.0,2,3182.8,0.2238,0.7137,Personal,0
42,Male,Bachelor,Salaried,7.0,150000.0,710647,36,17.52,722.0,1,25520.8,2.0417,4.7376,Home,0
27,Male,High School,Self-Employed,9.0,150000.0,189851,48,10.4,743.0,3,4851.66,0.3881,1.2657,Home,0
34,Male,Master,Salaried,7.0,,541593,84,15.36,776.0,1,10560.68,0.564,2.4105,Business,0
35,Male,High School,Self-Employed,9.0,150000.0,507976,48,15.7,786.0,0,14318.25,1.1455,3.3865,Business,0
27,Female,Master,Self-Employed,15.0,,386513,84,18.04,752.0,1,8132.73,0.6506,2.5768,Home,0
29,Male,Bachelor,Business,5.0,354529.0,1033253,84,13.54,612.0,1,19101.56,0.6465,2.9144,Home,0
28,Male,Master,Salaried,1.0,150000.0,212711,48,9.9,829.0,1,5384.69,0.4308,1.4181,Home,0
43,Female,Bachelor,Self-Employed,14.0,196944.0,157876,84,21.99,592.0,3,3697.42,0.2253,0.8016,Home,0
49,Female,Bachelor,Salaried,14.0,150000.0,248737,60,8.03,750.0,1,5047.06,0.4038,1.6582,Home,0
38,Female,Master,Salaried,9.0,150000.0,289080,48,9.73,703.0,1,7294.39,0.5836,1.9272,Home,0
51,Female,High School,Salaried,5.0,153116.0,363062,48,15.03,774.0,1,10109.81,0.7923,2.3712,Business,0
50,Male,PhD,Self-Employed,10.0,160301.0,293635,120,22.17,776.0,2,6103.37,0.4569,1.8318,Vehicle,0
59,Female,Master,Unemployed,7.0,150000.0,99172,36,9.19,611.0,0,3162.42,0.253,0.6611,Home,0
55,Male,PhD,Salaried,5.0,199748.0,184913,24,19.67,696.0,3,9381.51,0.5636,0.9257,Home,0
38,Female,High School,Salaried,4.0,150000.0,529827,24,12.23,649.0,1,24997.74,1.9998,3.5322,Medical,1
62,Male,High School,Salaried,6.0,150000.0,117628,12,8.75,531.0,0,10273.11,0.8218,0.7842,Education,0
59,Female,Bachelor,Self-Employed,9.0,150000.0,106194,84,22.27,625.0,0,2505.43,0.2004,0.708,Home,1
37,Male,Master,Salaried,7.0,150000.0,622955,84,23.54,639.0,2,15191.22,1.2153,4.153,Home,1
34,Male,High School,Salaried,10.0,155442.0,106570,84,9.68,781.0,0,1751.62,0.1352,0.6856,Home,0
51,Female,High School,Self-Employed,6.0,181823.0,147149,84,22.29,683.0,1,3473.5,0.2292,0.8093,Personal,0
44,Male,High School,Self-Employed,5.0,150000.0,445921,36,18.19,794.0,1,16163.65,1.2931,2.9728,Business,0
55,Male,Master,Salaried,8.0,150000.0,373919,84,10.82,758.0,2,6367.07,0.5094,2.4928,Home,0
64,Male,Master,Self-Employed,7.0,150000.0,726005,84,18.58,707.0,2,15506.86,1.2405,4.84,Home,1
54,Male,Bachelor,Salaried,12.0,150000.0,707371,60,20.89,647.0,1,19093.02,1.5274,4.7158,Business,1
23,Male,High School,Salaried,5.0,150000.0,520647,84,15.65,653.0,0,10237.61,0.819,3.471,Home,0
57,Female,Bachelor,Salaried,4.0,150000.0,123510,84,22.5,632.0,0,2931.59,0.2345,0.8234,Education,0
63,Male,High School,Business,6.0,150000.0,414653,12,16.22,788.0,1,37665.0,3.0132,2.7644,Medical,1
60,Male,Bachelor,Business,5.0,150000.0,105420,48,10.56,608.0,3,2702.16,0.2162,0.7028,Vehicle,0
46,Male,Bachelor,Salaried,4.0,150000.0,687857,12,19.2,666.0,1,63456.22,5.0765,4.5857,Education,1
43,Female,Bachelor,Self-Employed,0.0,215310.0,747109,24,18.67,665.0,2,37541.06,2.0923,3.4699,Medical,0
64,Female,Master,Self-Employed,2.0,150000.0,462380,12,18.07,860.0,2,42406.4,3.3925,3.0825,Vehicle,0
59,Female,Bachelor,Business,6.0,150000.0,363835,12,22.02,,0,34056.41,2.7245,2.4256,Vehicle,0
35,Female,Bachelor,Business,1.0,213748.0,597153,84,16.21,,4,11932.22,0.6699,2.7937,Vehicle,0
24,Female,Master,Self-Employed,9.0,150000.0,345198,36,19.12,616.0,0,12674.54,1.014,2.3013,Business,1
49,Female,High School,Salaried,8.0,150000.0,142239,48,23.25,611.0,1,4578.47,0.3663,0.9483,Education,0
